JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
62,zhouyuan,1579143547757,67efcba068ee8169003ba937f1be8d2997e14cfb,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
63,zhouyuan,1579146928825,3ab264b36761c2bf9d44d1bba44464a069903afb,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
64,zhouyuan,1579158267549,7de057b8f75f478956cf30667480afd4e9420c5b,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
65,zhouyuan,1579160777448,fe42461f441294e984d3d5757df13f89f05fa9a4,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
66,zhouyuan,1579162292807,6548351fff8272141b8d6270f0fec2bcf8b849e7,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
67,zhouyuan,1579163914195,3daee79ea5e1d5e7ce8d5230dc1b4b35ff85bf3b,origin/feature/fb-link-test,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
68,zhouyuan,1579165039926,861ba4144c44814dc430bde2ecc9225f6dc22338,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
69,zhouyuan,1579242011642,d96f7e50901e6105cdf4ec334f76f60699253675,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
70,zhouyuan,1579244318233,b3c1bd1eee70470364be6477cdd65ce0b1375ecd,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
71,zhouyuan,1579250035250,de91eb1833dcc9b9d01c9d60ed04886d7df4fec8,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
