JOB_NUMBER,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
161,d4c06f4d52389e0b0d11974e317d89f05f3180e0,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
162,1492cc99fd86964fd24fe0634c60ed633c76e679,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
163,bf9bfb470e61d551113aa7314628e2ee18ae5ded,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
164,bf9bfb470e61d551113aa7314628e2ee18ae5ded,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
165,90460b6631c1c5612c88bde83b60a7b0631504f7,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
166,f8ee2bfec83aeea7c0da4b799e8287764d3167f7,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
167,12aff9e29d5c1f1c17d2d054ac42dbed5d1c7139,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
168,180d7d9ab083c7da14d87b327e79390e30da4d74,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
169,757edccbe7df998a45380415a51491acc5ed7d34,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
170,bfe3b9fd8bd9a559b0b9ae404c6361031813fca5,origin/release/v1.0.7,ios,release,1.0.7,1.增加新章节：City Street
2.增加了一些新的天赋
3.增加关卡进度奖励
4.增加等级奖励
5.关卡中可随机遇到NPC：Life Master，可完全恢复玩家的生命值
6.关卡中可随机遇到NPC：Experience Master，可直接将玩家提升到下一级
7.关卡中可随机进入奖励关卡，可获得大量金币和一些宝石奖励
8.调整了一些关卡元素的碰撞盒，使之更符合视觉认知
9.修复了部分回复护盾的效果变成回复生命值的BUG
10.替换狙击枪和冲锋枪的角色外型
11.调整了战斗UI（关卡进度和经验值换了位置，优化了BOSS战时的UI显示）
12.统一了冲刺怪物的预警时长
13.修复了碰撞伤害BUG（有些宝箱怪不应该造成碰撞伤害）
14.增加宝箱钥匙道具，可用于开启宝箱
15.装备界面增加了护盾值属性的显示
16.大部分看广告的功能点，首次使用都不用看广告
17.调整了部分关卡难度
18.装备红点提示优化
19.修复了连续丢抛出物的技能可能中途中断的BUG
20.修复了宝箱冷却时间和体力恢复时间切后台后停止计时的BUG
21.将太刀BOSS的地波技能替换为3段突刺技能
22.兔子攻击方式改为十字/米字
23.调整了部分抛出物的碰撞盒大小
24.优化了男僵尸和扳手僵尸的攻击动作
25.修改玩家受伤CD规则，玩家在短时间内不会受到多次伤害
26.修改玩家受击时手机震动规则，闪避、无敌、死亡时被击中时不会再有震动,upload_patch,undefined,,13,,undefined,undefined,undefined
171,b3197c88419ef1538e1b31021cc34bdb90d254be,origin/lua,ios,debug,1.0.8,,build_app,undefined,adhoc ,13,,undefined,undefined,undefined
172,8a8bbf46dc39d088b018aed5c76a692bcba9de1e,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,,undefined,undefined,undefined
173,8a8bbf46dc39d088b018aed5c76a692bcba9de1e,origin/lua,ios,debug,1.0.8,,build_app,undefined,adhoc ,13,,undefined,undefined,undefined
174,09e76de5cf7d1ed645e24f8a296fb32bbe0c82fc,origin/lua,ios,debug,1.0.8,,build_app,undefined,adhoc ,13,,undefined,undefined,undefined
175,91345ea6e016b85c930dcee3a543dab303df6f8c,origin/lua,ios,debug,1.0.8,,upload_patch,undefined,,13,,undefined,undefined,undefined
176,126ffacd4929aea8e638f328d2472d179568f58d,origin/lua,ios,debug,1.0.7,测试热更白名单,upload_patch,undefined,,13,,undefined,undefined,undefined
177,f55f4d4f2d99e6c8b4c37f3ce6be33cd804198b7,origin/lua,ios,debug,1.0.7,测试热更白名单,upload_patch,undefined,,13,,undefined,undefined,undefined
